sale_month,sale_year,cpi_value,correction_term_dec_2004,geo_code,parcel,amt_Price,sale_date,year_built,HEATED,BATHS,BEDROOMS,neighborhood,distance,srn,offender_address_date,building_grade,offender,streetname,BQM1,BQM2,AIRCOND,HEIGHT,WALL,AGE,NEW,orig_distance,close_offender,post_move,close_post_move,neighbor_year,CNTLBQM1_2,CNTLBQM1_3,CNTLBQM1_4,CNTLBQM1_5,CNTLBQM1_6,CNTLWALL_2,CNTLWALL_3,CNTLWALL_4,CNTLWALL_5,CNTLWALL_6,CNTLWALL_7,CNTLWALL_8,CNTLWALL_9,CNTLWALL_10,CNTLHEIGHT_2,CNTLHEIGHT_3,CNTLHEIGHT_4,CNTLHEIGHT_5,CNTLHEIGHT_6,log_price,dist_post,post,srn_year,offdays
6,2003,177.1999969482422,1.0835214853286743,371190064005,00516246,140857.79309272766,2003-06-12,1979,2580,3,4,PINE RIDGE DR AREA,0.3121844132741292,006943S11,2001-12-27,b03,1, FLORAL LN,2,3,1,1,"CEDAR,RDWD",24,0,0.9365532398223877,0,1,0,5081,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11.85550594329834,0,Post,006943S11-2003,532
1,2002,170.60000610351562,1.1254396438598633,371190064005,00516619,165439.6276473999,2002-01-15,1986,1462,2,3,PINE RIDGE DR AREA,0.20431635777155557,006943S11,2001-12-27,b03,1, FLORAL LN,2,3,1,1,"CEDAR,RDWD",16,0,0.6129490733146667,0,1,0,5080,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12.016361236572266,0,Post,006943S11-2002,19
2,2001,170.1999969482422,1.128084659576416,371190064005,00516624,125217.39721298218,2001-02-01,1984,1186,2,3,PINE RIDGE DR AREA,0.30755460262298584,006943S11,2001-12-27,b03,1, FLORAL LN,2,3,1,1,WOOD ON SHTG,17,0,0.9226638078689575,0,0,0,5079,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.73780632019043,0,Pre,006943S11-2001,-329
6,2002,173.5,1.1066282987594604,371190064005,00516625,154927.96182632446,2002-06-28,1978,2013,2,3,PINE RIDGE DR AREA,0.3272851308186849,006943S11,2001-12-27,b03,1, FLORAL LN,2,3,1,1,FACE BRICK,24,0,0.9818553924560547,0,1,0,5080,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.950715065002441,0,Post,006943S11-2002,183
3,2001,170.60000610351562,1.1254396438598633,371190064005,00516630,136178.19690704346,2001-03-23,1986,1462,2,3,PINE RIDGE DR AREA,0.3270774284998576,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,1,WOOD ON SHTG,15,0,0.9812322854995728,0,0,0,5079,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11.8217191696167,0,Pre,006943S11-2001,-279
9,2000,168.5,1.1394659280776978,371190064005,00516638,135596.44544124603,2000-09-29,1987,1342,2,3,PINE RIDGE DR AREA,0.18974600235621134,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,1,MASONITE,13,0,0.569238007068634,0,0,0,5078,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.817438125610352,0,Pre,006943S11-2000,-454
7,2003,177.3000030517578,1.0829102993011475,371190064005,00516639,145109.98010635376,2003-07-11,1988,1611,2,3,PINE RIDGE DR AREA,0.17219007015228271,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,2,WOOD ON SHTG,15,0,0.5165702104568481,0,1,0,5081,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,11.885247230529785,0,Post,006943S11-2003,561
6,2003,177.1999969482422,1.0835214853286743,371190064005,00516644,137607.22863674164,2003-06-23,1986,1310,2,3,PINE RIDGE DR AREA,0.1047923465569814,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,1,MASONITE,17,0,0.3143770396709442,1,1,1,5081,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.832159042358398,1.047923465569814,Post,006943S11-2003,543
9,2000,168.5,1.1394659280776978,371190064005,00516646,136166.17840528488,2000-09-29,1986,1318,2,3,PINE RIDGE DR AREA,0.09934346874554952,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,1,MASONITE,14,0,0.29803040623664856,1,0,0,5078,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.82163143157959,0,Pre,006943S11-2000,-454
11,2003,177.5,1.0816901922225952,371190064005,00516646,135211.2740278244,2003-11-14,1986,1318,2,3,PINE RIDGE DR AREA,0.09934346874554952,006943S11,2001-12-27,b03,1, PINE RIDGE DR,2,3,1,1,MASONITE,17,0,0.29803040623664856,1,1,1,5081,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11.814594268798828,0.9934346874554951,Post,006943S11-2003,687
