Country_NAME,Country_ISO,year,GDP_pc_Country,GINIW_pred_GDP_pc,COVW_pred_GDP_pc,GE_1W_pred_GDP_pc,GE_0W_pred_GDP_pc,GE_m1W_pred_GDP_pc
Paraguay,PRY,1993,5459.5009765625,0.13605694472789764,0.2535000145435333,0.030645055696368217,0.029774021357297897,0.02947220765054226
Paraguay,PRY,1994,5614.650390625,0.140686497092247,0.2617042660713196,0.032663967460393906,0.03176593407988548,0.03149997442960739
Paraguay,PRY,1995,5860.15771484375,0.12885436415672302,0.23755097389221191,0.027174165472388268,0.026625514030456543,0.026553265750408173
Paraguay,PRY,1996,5819.23876953125,0.1299162209033966,0.23860371112823486,0.0275266133248806,0.027073318138718605,0.027098393067717552
Paraguay,PRY,1997,5933.7509765625,0.13092897832393646,0.2395911067724228,0.02775191329419613,0.027308231219649315,0.027361661195755005
Paraguay,PRY,1998,5811.11962890625,0.12773604691028595,0.2335764765739441,0.02641734667122364,0.026018530130386353,0.02607615850865841
Paraguay,PRY,1999,5611.859375,0.12767402827739716,0.23285163938999176,0.02630314603447914,0.025947608053684235,0.026039831340312958
Paraguay,PRY,2000,5369.3544921875,0.12473250925540924,0.2272583693265915,0.025092141702771187,0.024774543941020966,0.0248677097260952
Paraguay,PRY,2001,5216.95263671875,0.12652219831943512,0.23054873943328857,0.025810735300183296,0.025473138317465782,0.025557560846209526
Paraguay,PRY,2002,5112.1533203125,0.12540027499198914,0.2284706085920334,0.025393228977918625,0.025096211582422256,0.025205526500940323
Paraguay,PRY,2003,5228.88037109375,0.12913718819618225,0.23480115830898285,0.02679426036775112,0.02646438591182232,0.026567306369543076
Paraguay,PRY,2004,5336.80615234375,0.12362003326416016,0.22475223243236542,0.024581143632531166,0.02430354245007038,0.024418611079454422
Paraguay,PRY,2005,5348.33984375,0.1266096830368042,0.2307538092136383,0.025854652747511864,0.025510603561997414,0.025581277906894684
Paraguay,PRY,2006,5502.35791015625,0.12391938269138336,0.22499164938926697,0.024686738848686218,0.024455610662698746,0.024615351110696793
