code_Coutry_Region,Country_ISO,year,Latitude,Longitude,log_GDP_pc_Region,log_Light_ppix_Region,satyear_1,satyear_2,satyear_3,satyear_4,satyear_5,satyear_6,satyear_7
959,RUS,2010,52.618457,82.63455,9.073452949523926,0.4713056683540344,0,0,0,0,0,0,0
959,RUS,2005,52.618457,82.63455,8.512889862060547,-0.07765607535839081,0,0,0,0,0,1,0
959,RUS,2000,52.618457,82.63455,8.12829303741455,0.4346543848514557,0,0,0,0,1,0,0
959,RUS,1995,52.618457,82.63455,8.076407432556152,0.07408743351697922,0,0,1,0,0,0,0
848,PRY,2002,-20.592351,-59.410441,8.622603416442871,-4.605170249938965,0,0,0,0,1,0,0
848,PRY,2008,-20.592351,-59.410441,8.8303804397583,-4.605170249938965,0,0,0,0,0,0,1
848,PRY,1992,-20.592351,-59.410441,8.91458511352539,-4.605170249938965,1,0,0,0,0,0,0
849,PRY,2008,-25.386037,-54.955611,8.816186904907227,0.49164244532585144,0,0,0,0,0,0,1
849,PRY,2002,-25.386037,-54.955611,8.736418724060059,0.47089627385139465,0,0,0,0,1,0,0
849,PRY,1992,-25.386037,-54.955611,8.485404014587402,-0.3081558048725128,1,0,0,0,0,0,0
658,LVA,2005,57.427468,27.005965,8.694211959838867,-0.6748324036598206,0,0,0,0,0,1,0
658,LVA,2000,57.427468,27.005965,8.334607124328613,-0.4892166256904602,0,0,0,0,1,0,0
658,LVA,1995,57.427468,27.005965,8.332725524902344,-1.4025996923446655,0,0,1,0,0,0,0
689,LTU,1995,54.221556,24.125659,8.767096519470215,-0.10238038748502731,0,0,1,0,0,0,0
689,LTU,2010,54.221556,24.125659,9.40786361694336,1.5625356435775757,0,0,0,0,0,0,0
689,LTU,2000,54.221556,24.125659,8.970818519592285,0.4329369068145752,0,0,0,0,1,0,0
689,LTU,2005,54.221556,24.125659,9.21239185333252,0.41839349269866943,0,0,0,0,0,1,0
850,PRY,2008,-22.876474,-56.064125,8.74537181854248,-1.1668261289596558,0,0,0,0,0,0,1
850,PRY,1992,-22.876474,-56.064125,8.46705436706543,-1.9457204341888428,1,0,0,0,0,0,0
850,PRY,2002,-22.876474,-56.064125,8.49415111541748,-1.4256415367126465,0,0,0,0,1,0,0
1284,TUR,2000,40.693604,35.718734,8.893903732299805,1.040321707725525,0,0,0,0,1,0,0
1284,TUR,1995,40.693604,35.718734,8.471392631530762,0.6273674368858337,0,0,1,0,0,0,0
866,PER,2001,-5.06417,-78.054802,7.886897563934326,-2.4166746139526367,0,0,0,0,1,0,0
866,PER,2010,-5.06417,-78.054802,8.416254043579102,-2.317577838897705,0,0,0,0,0,0,0
866,PER,2005,-5.06417,-78.054802,8.10196590423584,-2.75470232963562,0,0,0,0,0,1,0
866,PER,1995,-5.06417,-78.054802,7.881412506103516,-2.571610450744629,0,0,1,0,0,0,0
112,BRA,2000,-8.520757,-60.804825,8.944540023803711,-2.2173852920532227,0,0,0,0,1,0,0
112,BRA,2005,-8.520757,-60.804825,9.180071830749512,-2.2259554862976074,0,0,0,0,0,1,0
112,BRA,2010,-8.520757,-60.804825,9.341907501220703,-1.546240210533142,0,0,0,0,0,0,0
112,BRA,1995,-8.520757,-60.804825,8.93258285522461,-2.347022771835327,0,0,1,0,0,0,0
607,JOR,2002,31.590442,36.38414,9.1788787841796875,1.7048404216766357,0,0,0,0,1,0,0
607,JOR,2010,31.590442,36.38414,9.452317237854004,2.2653796672821045,0,0,0,0,0,0,0
607,JOR,1997,31.590442,36.38414,9.103828430175781,1.6319738626480103,0,0,0,1,0,0,0
1208,THA,2005,15.306016,105.048476,7.815460681915283,-0.32309696078300476,0,0,0,0,0,1,0
1208,THA,2000,15.306016,105.048476,7.566158771514893,-0.22238832712173462,0,0,0,0,1,0,0
1208,THA,2010,15.306016,105.048476,8.16203784942627,1.2050520181655884,0,0,0,0,0,0,0
1208,THA,1995,15.306016,105.048476,7.64367151260376,-0.5839204788208008,0,0,1,0,0,0,0
960,RUS,2000,53.400022,127.725052,8.600432395935059,-1.7155723571777344,0,0,0,0,1,0,0
960,RUS,2010,53.400022,127.725052,9.630471229553223,-0.9870496392250061,0,0,0,0,0,0,0
960,RUS,1995,53.400022,127.725052,8.650422096252441,-1.3793675899505615,0,0,1,0,0,0,0
960,RUS,2005,53.400022,127.725052,9.01148509979248,-1.8712337017059326,0,0,0,0,0,1,0
1466,VNM,2008,10.511902,105.182456,8.309749603271484,1.0044862031936646,0,0,0,0,0,0,1
1466,VNM,1995,10.511902,105.182456,7.417810440063477,0.14226043224334717,0,0,1,0,0,0,0
1466,VNM,2000,10.511902,105.182456,7.612924575805664,0.8108773231506348,0,0,0,0,1,0,0
1466,VNM,2006,10.511902,105.182456,7.79103946685791,1.0927702188491821,0,0,0,0,0,1,0
387,GRC,2010,41.1623,25.136093,9.888127326965332,2.0330357551574707,0,0,0,0,0,0,0
387,GRC,2005,41.1623,25.136093,9.825554847717285,1.5910489559173584,0,0,0,0,0,1,0
387,GRC,2000,41.1623,25.136093,9.688661575317383,1.5825395584106445,0,0,0,0,1,0,0
387,GRC,1995,41.1623,25.136093,9.666878700256348,1.307271122932434,0,0,1,0,0,0,0
867,PER,1995,-9.385851,-77.691069,7.882919788360596,-0.8640216588973999,0,0,1,0,0,0,0
867,PER,2010,-9.385851,-77.691069,9.069741249084473,0.06464887410402298,0,0,0,0,0,0,0
867,PER,2001,-9.385851,-77.691069,8.64301586151123,-0.4229546785354614,0,0,0,0,1,0,0
867,PER,2005,-9.385851,-77.691069,8.875663757324219,-0.49012038111686707,0,0,0,0,0,1,0
453,IND,2010,11.225999,92.968178,8.956027030944824,0.1790391504764557,0,0,0,0,0,0,0
453,IND,2005,11.225999,92.968178,8.646398544311523,-0.7507603764533997,0,0,0,0,0,1,0
453,IND,2000,11.225999,92.968178,8.208179473876953,-0.7236428260803223,0,0,0,0,1,0,0
453,IND,1993,11.225999,92.968178,7.791163921356201,-0.8249133229255676,1,0,0,0,0,0,0
454,IND,2005,16.586417,79.562857,8.093244552612305,1.333130955696106,0,0,0,0,0,1,0
454,IND,1993,16.586417,79.562857,7.460391521453857,1.173731803894043,1,0,0,0,0,0,0
454,IND,2000,16.586417,79.562857,7.830938816070557,1.4594069719314575,0,0,0,0,1,0,0
454,IND,2010,16.586417,79.562857,8.522631645202637,2.1488871574401855,0,0,0,0,0,0,0
1454,UZB,2005,40.753021,72.293477,7.735479831695557,2.407895565032959,0,0,0,0,0,1,0
1454,UZB,1995,40.753021,72.293477,7.273000717163086,2.7947540283203125,0,0,1,0,0,0,0
1454,UZB,2000,40.753021,72.293477,7.5919342041015625,2.4415786266326904,0,0,0,0,1,0,0
1209,THA,2005,14.621559,100.350175,8.573702812194824,1.9607397317886353,0,0,0,0,0,1,0
1209,THA,2010,14.621559,100.350175,8.637556076049805,2.8156654834747314,0,0,0,0,0,0,0
1209,THA,1995,14.621559,100.350175,8.392719268798828,2.213796377182007,0,0,1,0,0,0,0
1209,THA,2000,14.621559,100.350175,8.33480167388916,2.155153274536133,0,0,0,0,1,0,0
182,CHN,2010,31.82027,117.227259,8.568127632141113,1.86203134059906,0,0,0,0,0,0,0
182,CHN,2000,31.82027,117.227259,7.601916790008545,0.8024222254753113,0,0,0,0,1,0,0
182,CHN,2005,31.82027,117.227259,7.950944900512695,1.0240293741226196,0,0,0,0,0,1,0
182,CHN,1995,31.82027,117.227259,7.289942741394043,0.6805967092514038,0,0,1,0,0,0,0
1285,TUR,1995,39.791749,32.773995,9.188322067260742,1.1233129501342773,0,0,1,0,0,0,0
1285,TUR,2000,39.791749,32.773995,9.599068641662598,1.479663610458374,0,0,0,0,1,0,0
1286,TUR,1995,36.795414,30.925414,8.927682876586914,0.6399561166763306,0,0,1,0,0,0,0
