Country_ISO,year,pred_GDP_pc_Region,GDP_pc_Region,Light_Region,Light_Country,Pop_Region,Pop_Country
AUT,2005,29164.884765625,30574.2578125,153918,988612.5,1170376,8019928
AUT,2010,32352.763671875,33554.671875,283985,1818260,1140011.25,7929864
AUT,1995,23480.146484375,29754.5546875,105976,944435,657513.5,8029966
AUT,2000,26868.796875,34522.3828125,128054.5,1025342,671552.9375,8060553.5
AUT,2005,28838.357421875,37084.4375,134040.5,988612.5,679882.75,8019928
AUT,2010,31319.896484375,40124.515625,220998,1818260,684059.6875,7929864
AUT,1995,25112.564453125,30278.9140625,38484,944435,336166.46875,8029966
AUT,2000,28150.228515625,35093.296875,38104.5,1025342,342100.5625,8060553.5
AUT,2005,30595.3046875,36896.7578125,43930,988612.5,344861.8125,8019928
AUT,2010,33044.078125,41053.4765625,68897,1818260,345264.40625,7929864
AUT,1995,33727.41796875,42397.3671875,38914,944435,1286560.625,8029966
AUT,2000,37937.10546875,48029.41015625,40586.5,1025342,1277349.625,8060553.5
AUT,2005,40441.8828125,48127.0234375,39303.5,988612.5,1256266,8019928
AUT,2010,42174.07421875,50081.4765625,44960,1818260,1227129.375,7929864
BGD,1995,1139.786376953125,1000.5799560546875,7317,387812,4094869.5,121624304
BGD,1999,1233.83642578125,1145.2523193359375,6319,354688.5,4330423.5,132504080
BGD,2005,1500.1246337890625,1286.2867431640625,4720.5,339978,4690053.5,150084624
BGD,1995,1236.985107421875,995.13897705078125,14935,387812,3935071.75,121624304
BGD,1999,1331.065673828125,1164.405029296875,12308,354688.5,4214058,132504080
BGD,2005,1678.634521484375,1412.9996337890625,12756,339978,4648543,150084624
BGD,1995,1287.0421142578125,1740.6810302734375,38382,387812,7427057,121624304
BGD,1999,1465.3924560546875,1903.9742431640625,38706.5,354688.5,8244669.5,132504080
BGD,2005,1728.6009521484375,2408.037841796875,29630,339978,9581188,150084624
BGD,1995,971.11199951171875,1464.71923828125,5110,387812,1518402.75,121624304
BGD,1999,1064.9205322265625,1226.8587646484375,4994,354688.5,1736895.125,132504080
BGD,2005,1290.0687255859375,1203.7596435546875,3595.5,339978,2110510.5,150084624
BGD,1995,1260.9212646484375,960.01165771484375,30398,387812,9432547,121624304
BGD,1999,1379.256103515625,1057.1551513671875,28994.5,354688.5,10138630,132504080
BGD,2005,1722.9105224609375,1309.1883544921875,27266.5,339978,11245498,150084624
BGD,1995,1417.8466796875,2206.5927734375,74969,387812,16161335,121624304
BGD,1999,1563.307373046875,2393.5087890625,76712,354688.5,18361728,132504080
BGD,2005,1964.6217041015625,2898.615234375,78244.5,339978,22129804,150084624
BGD,1995,1189.3662109375,1056.9324951171875,18257,387812,4726711,121624304
BGD,1999,1258.346923828125,1198.8936767578125,12701.5,354688.5,5138409.5,132504080
BGD,2005,1597.988037109375,1468.380615234375,14265,339978,5792737,150084624
BGD,1995,1110.2071533203125,891.66424560546875,9766,387812,6259069,121624304
BGD,1999,1210.3089599609375,1022.7142333984375,9022,354688.5,6681542.5,132504080
BGD,2005,1552.9503173828125,1229.92138671875,11239.5,339978,7338618,150084624
BGD,1995,1141.8045654296875,912.9423828125,6095,387812,3404480.25,121624304
