GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country
CHLr104,Coquimbo,Chile,Y2019,0.761,0.938,0.801,0.83,759.6,Coquimbo (CHL)
CHLr105,Valparaiso (former Aconcagua),Chile,Y2013,0.789,0.917,0.823,0.841,1787.4,Valparaiso (former Aconca (CHL)
CHLr105,Valparaiso (former Aconcagua),Chile,Y2019,0.842,0.931,0.831,0.867,1927.8,Valparaiso (former Aconca (CHL)
CHLr106,OHiggins,Chile,Y2013,0.681,0.919,0.806,0.796,908.4,OHiggins (CHL)
CHLr106,OHiggins,Chile,Y2019,0.727,0.933,0.814,0.82,979.8,OHiggins (CHL)
CHLr107,Maule,Chile,Y2013,0.639,0.893,0.791,0.767,1057.8,Maule (CHL)
CHLr107,Maule,Chile,Y2019,0.682,0.907,0.799,0.79,1140.9,Maule (CHL)
CHLr108,Bio Bio,Chile,Y2013,0.701,0.916,0.8,0.801,2167.1,Bio Bio (CHL)
CHLr108,Bio Bio,Chile,Y2019,0.749,0.93,0.808,0.826,2337.4,Bio Bio (CHL)
CHLr109,Arbucania,Chile,Y2013,0.644,0.896,0.77,0.763,990.3,Arbucania (CHL)
CHLr109,Arbucania,Chile,Y2019,0.688,0.909,0.778,0.786,1068.1,Arbucania (CHL)
CHLr110,Los Lagos (incl Los Rios),Chile,Y2013,0.646,0.91,0.782,0.772,1243.0,Los Lagos (incl Los Rios) (CHL)
CHLr110,Los Lagos (incl Los Rios),Chile,Y2019,0.689,0.924,0.79,0.795,1340.7,Los Lagos (incl Los Rios) (CHL)
CHLr111,Aisen,Chile,Y2013,0.673,0.909,0.786,0.783,108.8,Aisen (CHL)
CHLr111,Aisen,Chile,Y2019,0.718,0.922,0.794,0.807,117.3,Aisen (CHL)
CHLr112,Magallanes and La Antartica Chilena,Chile,Y2013,0.788,0.899,0.831,0.838,178.0,Magallanes and La Antarti (CHL)
CHLr112,Magallanes and La Antartica Chilena,Chile,Y2019,0.841,0.912,0.839,0.864,192.0,Magallanes and La Antarti (CHL)
CHLr113,Region Metropolitana,Chile,Y2013,0.821,0.915,0.836,0.857,7053.7,Region Metropolitana (CHL)
CHLr113,Region Metropolitana,Chile,Y2019,0.877,0.929,0.844,0.883,7607.9,Region Metropolitana (CHL)
COLr101,Antioquia (incl Medellin),Colombia,Y2013,0.64,0.872,0.75,0.748,6294.1,Antioquia (incl Medellin) (COL)
COLr101,Antioquia (incl Medellin),Colombia,Y2019,0.678,0.888,0.763,0.772,6754.5,Antioquia (incl Medellin) (COL)
COLr102,Atlantico (incl Barranquilla),Colombia,Y2013,0.677,0.86,0.745,0.757,2305.6,Atlantico (incl Barranqui (COL)
COLr102,Atlantico (incl Barranquilla),Colombia,Y2019,0.726,0.879,0.762,0.786,2573.9,Atlantico (incl Barranqui (COL)
COLr103,Bogota D.C.,Colombia,Y2013,0.736,0.869,0.773,0.791,7706.1,Bogota D.C. (COL)
COLr103,Bogota D.C.,Colombia,Y2019,0.769,0.889,0.786,0.813,8242.6,Bogota D.C. (COL)
COLr104,Bolivar (Sur and Norte),Colombia,Y2013,0.64,0.861,0.699,0.728,2011.1,Bolivar (Sur and Norte) (COL)
COLr104,Bolivar (Sur and Norte),Colombia,Y2019,0.676,0.89,0.718,0.756,2194.3,Bolivar (Sur and Norte) (COL)
COLr105,Boyaca,Colombia,Y2013,0.626,0.872,0.724,0.734,1319.1,Boyaca (COL)
COLr105,Boyaca,Colombia,Y2019,0.667,0.891,0.738,0.76,1335.5,Boyaca (COL)
COLr106,Caldas,Colombia,Y2013,0.636,0.89,0.753,0.752,987.5,Caldas (COL)
COLr106,Caldas,Colombia,Y2019,0.678,0.906,0.767,0.778,1034.0,Caldas (COL)
COLr107,Caqueta,Colombia,Y2013,0.568,0.865,0.695,0.699,397.6,Caqueta (COL)
COLr107,Caqueta,Colombia,Y2019,0.596,0.883,0.702,0.717,499.9,Caqueta (COL)
COLr108,Cauca,Colombia,Y2013,0.584,0.855,0.691,0.701,1309.3,Cauca (COL)
COLr108,Cauca,Colombia,Y2019,0.612,0.871,0.698,0.719,1442.7,Cauca (COL)
COLr109,Cesar,Colombia,Y2013,0.601,0.84,0.698,0.707,991.5,Cesar (COL)
COLr109,Cesar,Colombia,Y2019,0.64,0.859,0.707,0.729,1076.8,Cesar (COL)
COLr110,Cordoba,Colombia,Y2013,0.572,0.855,0.667,0.688,1650.4,Cordoba (COL)
COLr110,Cordoba,Colombia,Y2019,0.61,0.876,0.687,0.716,1788.6,Cordoba (COL)
COLr111,Cundinamarca,Colombia,Y2013,0.63,0.882,0.743,0.744,2665.3,Cundinamarca (COL)
COLr111,Cundinamarca,Colombia,Y2019,0.676,0.903,0.76,0.774,2803.9,Cundinamarca (COL)
COLr112,Choco,Colombia,Y2013,0.597,0.812,0.63,0.674,461.4,Choco (COL)
COLr112,Choco,Colombia,Y2019,0.634,0.84,0.633,0.696,523.0,Choco (COL)
COLr113,Huila,Colombia,Y2013,0.558,0.855,0.731,0.704,1089.9,Huila (COL)
COLr113,Huila,Colombia,Y2019,0.578,0.887,0.745,0.726,1208.1,Huila (COL)
COLr114,Guajira,Colombia,Y2013,0.61,0.774,0.65,0.675,781.2,Guajira (COL)
COLr114,Guajira,Colombia,Y2019,0.654,0.779,0.66,0.695,1002.3,Guajira (COL)
COLr115,Magdalena,Colombia,Y2013,0.599,0.855,0.688,0.706,1210.9,Magdalena (COL)
COLr115,Magdalena,Colombia,Y2019,0.632,0.863,0.702,0.726,1318.4,Magdalena (COL)
COLr116,Meta,Colombia,Y2013,0.63,0.885,0.734,0.742,862.8,Meta (COL)
COLr116,Meta,Colombia,Y2019,0.683,0.917,0.751,0.778,1005.8,Meta (COL)
COLr117,Narino,Colombia,Y2013,0.581,0.859,0.688,0.7,1631.4,Narino (COL)
COLr117,Narino,Colombia,Y2019,0.611,0.88,0.7,0.722,1824.8,Narino (COL)
COLr118,Norte de Santander,Colombia,Y2013,0.596,0.86,0.735,0.722,1346.6,Norte de Santander (COL)
COLr118,Norte de Santander,Colombia,Y2019,0.644,0.871,0.751,0.75,1418.6,Norte de Santander (COL)
COLr119,Quindio,Colombia,Y2013,0.642,0.869,0.766,0.753,566.4,Quindio (COL)
