former_dis,dist,year,div,yld,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,lyld,D_lyld,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10,10,4,4.0,3.283663098426795,99263220.0,46.39737,44.415607,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.8372428,3.793591,0.4875258990089156,1.1415817456517212,1.406109096679529,1.188959597541598,0.1284139649624212,73.65314267061528,1.8378477,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,5,4.0,3.550683901699319,99263220.0,44.811943,42.157322,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.8024747,3.7414083,0.4875258990089156,1.1415817456517212,1.406109096679529,1.2671402332990163,0.07818063575741818,92.0664283382691,2.2973096,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,6,4.0,3.7800656995685844,99263220.0,49.976036,50.04929,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.9115436,3.9130082,0.4875258990089156,1.1415817456517212,1.406109096679529,1.3297413903187012,0.06260115701968494,110.47971400592292,2.7567716,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,7,4.0,3.686583333333333,99263220.0,41.042896,39.49592,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.7146177,3.6761973,0.4875258990089156,1.1415817456517212,1.406109096679529,1.3047001031923051,-0.025041287126396083,128.89299967357675,3.2162335,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,10,8,4.0,3.862833333333333,99263220.0,44.19292,43.360146,134053.0,97950.44,0,0.0,0.0,97.95044,0.45946193,18.41328566765382,3.7885647,3.7695408,0.4875258990089156,1.1415817456517212,1.406109096679529,1.3514009383923675,0.04670083520006241,147.30628534123056,3.6756954,1,0,1,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,1,4.0,2.5567582459518317,102808440.0,43.720943,43.424694,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.7778273,3.7710283,0.5307943634799358,1.3575140335056175,1.9604748399797103,0.9387401458681718,,18.448378008782537,0.47894764,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,2,4.0,2.560408561150776,102808440.0,45.36578,44.37451,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.814758,3.7926652,0.5307943634799358,1.3575140335056175,1.9604748399797103,0.9401668399571935,0.0014266940890217406,36.896756017565075,0.9578953,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,3,4.0,2.6397696628162093,102808440.0,41.719936,41.352688,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.730979,3.7221375,0.5307943634799358,1.3575140335056175,1.9604748399797103,0.9706916644185611,0.030524824461367617,55.34513402634761,1.4368429,0,0,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,4,4.0,2.8688815760579054,102808440.0,45.33732,45.053646,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.8141305,3.807854,0.5307943634799358,1.3575140335056175,1.9604748399797103,1.053922259067454,0.08323059464889282,73.79351203513015,1.9157906,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,5,4.0,2.967621669191109,102808440.0,43.43939,41.341713,198393.48,119238.41,0,0.0,0.0,119.2384,0.47894764,18.448378008782537,3.7713666,3.721872,0.5307943634799358,1.3575140335056175,1.9604748399797103,1.0877608472310623,0.033838588163608296,92.24189004391269,2.3947382,1,1,0,0.0,0.0,0.0,mid,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
