geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd,mdist,lmdist,lpop91,lrainm,lrainsd,p,ipw1,ipw2,ipw3,ipw4,lmn,D_lmn,lpop91_t,lmdist_t,post,sr,lr,treat_post,treat_sr,treat_lr,band,dm_near,sr_near,lr_near,tsr_near,tlr_near,dm_mid,sr_mid,lr_mid,tsr_mid,tlr_mid,dm_far,sr_far,lr_far,tsr_far,tlr_far
10485,4,1.26,1.0,4.0,135050.0,49.50017,46.45316,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.9219768,3.8384445,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.81536484,0.030322313,47.253601436883045,20.071814,1,1,0,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
10485,5,1.1966666,1.0,4.0,135050.0,53.591682,53.857365,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.9998815,3.986339,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.78694105,-0.028423786,59.06700179610381,25.089767,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10485,6,1.35,1.0,4.0,135050.0,46.63412,46.70402,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.8635492,3.8438303,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.8544153,0.067474246,70.88040215532456,30.10772,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10485,7,1.285,1.0,4.0,135050.0,50.679985,52.40394,256797.34,150101.73,0,0.0,0.0,150.10173,5.0179534,11.813400359220761,3.9450705,3.9589818,0.5541782418621861,1.2530734784356388,1.3684334866306709,1.2530734784356388,1.3684334866306709,0.82636595,-0.02804935,82.69380251454533,35.125675,1,0,1,0.0,0.0,0.0,far,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
10602,1,1.3933333,1.0,6.0,147780.0,57.450626,55.123608,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.0681825,4.009578,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,0.87268716,,11.903479960342638,3.9649649,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,2,1.63,1.0,6.0,147780.0,52.61929,50.86611,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,3.9819088,3.9291968,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,0.9669839,0.09429675,23.806959920685276,7.9299297,0,0,0,0.0,0.0,0.0,near,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,3,1.895,1.0,6.0,147780.0,57.24029,57.71557,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.0645776,4.0555267,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,1.0629852,0.09600127,35.710439881027916,11.894895,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,4,1.8566667,1.0,6.0,147780.0,56.23343,51.493294,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.047138,3.9414515,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,1.0496554,-0.013329744,47.61391984137055,15.859859,1,1,0,0.0,0.0,0.0,near,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,5,1.1766666,1.0,6.0,147780.0,60.48773,59.642776,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,4.118838,4.088373,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,0.7777947,-0.27186072,59.51739980171319,19.824825,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10602,6,1.7766666,1.0,6.0,147780.0,52.64656,51.182568,163707.16,51718.42,0,0.0,0.0,51.718422,3.9649649,11.903479960342638,3.9824173,3.935399,0.36938508833481437,0.5904776329412504,0.5433450111941691,0.5904776329412504,0.5433450111941691,1.0212512,0.24345648,71.42087976205583,23.78979,1,0,1,0.0,0.0,0.0,near,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
