table,outcome,estimator,term,stata_coef,stata_se,python_coef,python_se,abs_diff_coef,abs_diff_se,match_coef,match_se,match_flag
T4,D_lyld,KOBDR,LR_mid,0.011,0.034,0.010756178311629797,0.033576883374066134,0.00024382168837020282,0.0004231166259338684,True,True,exact
T4,D_lyld,KOBDR,LR_near,0.025,0.036,0.025230028488068476,0.035755995670517404,0.0002300284880684747,0.00024400432948259304,True,True,exact
T4,D_lyld,KOBDR,SR_far,0.227,0.1,0.22709615959141416,0.09857200550048442,9.61595914141522e-05,0.0014279944995155835,True,False,coef only
T4,D_lyld,KOBDR,SR_mid,-0.03,0.063,-0.02988220651004135,0.06260326101783724,0.00011779348995864802,0.0003967389821627615,True,True,exact
T4,D_lyld,KOBDR,SR_near,-0.028,0.053,-0.02785128212898759,0.05227682573253465,0.0001487178710124111,0.0007231742674653485,True,False,coef only
T4,ldensity,KOBDR,LR_far,0.093,0.024,0.09278379587070068,0.02406287247248152,0.00021620412929931887,6.28724724815212e-05,True,True,exact
T4,ldensity,KOBDR,LR_mid,0.005,0.029,0.005048781999187749,0.028906325317423008,4.878199918774851e-05,9.367468257699338e-05,True,True,exact
T4,ldensity,KOBDR,LR_near,0.069,0.024,0.0688601646717948,0.024286235583838533,0.00013983532820520395,0.00028623558383853234,True,True,exact
T4,ldensity,KOBDR,SR_far,0.016,0.017,0.01566002544823382,0.01709739019715924,0.0003399745517661812,9.73901971592396e-05,True,True,exact
T4,ldensity,KOBDR,SR_mid,-0.071,0.024,-0.07088902826617625,0.02417291245946389,0.00011097173382373926,0.00017291245946388784,True,True,exact
T4,ldensity,KOBDR,SR_near,-0.037,0.024,-0.03688813100474822,0.024410479011326626,0.0001118689952517779,0.00041047901132662545,True,True,exact
T4,lmn,KOBDR,LR_far,0.102,0.038,0.10152097371060127,0.03825533277000143,0.0004790262893987207,0.0002553327700014277,True,True,exact
T4,lmn,KOBDR,LR_mid,0.149,0.04,0.14895435091641193,0.04014257529994757,4.5649083588061856e-05,0.00014257529994756574,True,True,exact
T4,lmn,KOBDR,LR_near,0.026,0.034,0.02605426802567287,0.03432560498333912,5.426802567286976e-05,0.00032560498333911864,True,True,exact
T4,lmn,KOBDR,SR_far,0.055,0.027,0.055086550950031274,0.026886473998837312,8.655095003127361e-05,0.00011352600116268721,True,True,exact
T4,lmn,KOBDR,SR_mid,0.063,0.03,0.06315988355147673,0.029609641477506655,0.00015988355147672495,0.0003903585224933441,True,True,exact
T4,lmn,KOBDR,SR_near,-0.008,0.024,-0.007796978238927072,0.02352910208672435,0.00020302176107292805,0.0004708979132756509,True,True,exact
T4,lyld,KOBDR,LR_far,0.265,0.025,0.26457818607358347,0.024593090701606743,0.0004218139264165477,0.00040690929839325846,True,True,exact
T4,lyld,KOBDR,LR_mid,0.065,0.022,0.065431899980459,0.022271239593563016,0.00043189998045899125,0.0002712395935630177,True,True,exact
T4,lyld,KOBDR,LR_near,0.049,0.023,0.04936332089809469,0.022406819328350088,0.0003633208980946892,0.0005931806716499115,True,True,exact
T4,lyld,KOBDR,SR_far,0.104,0.03,0.10409957150879821,0.029599085462511634,9.957150879821852e-05,0.00040091453748836506,True,True,exact
T4,lyld,KOBDR,SR_mid,0.018,0.024,0.017538022393747115,0.02402582419272135,0.00046197760625288353,2.5824192721349976e-05,True,True,exact
T4,lyld,KOBDR,SR_near,-0.025,0.019,-0.02471170722073332,0.018480115483467677,0.00028829277926668145,0.0005198845165323221,True,True,exact
T4,sagr,KOBDR,LR_far,-0.057,0.017,-0.05729604628887702,0.01726313514394836,0.0002960462888770207,0.00026313514394835785,True,True,exact
T4,sagr,KOBDR,LR_mid,0.008,0.014,0.007983189643379171,0.013723647046955086,1.6810356620829137e-05,0.00027635295304491436,True,True,exact
T4,sagr,KOBDR,LR_near,0.032,0.015,0.03229387082054083,0.01463305651111523,0.00029387082054083136,0.00036694348888476926,True,True,exact
T4,sagr,KOBDR,SR_far,-0.019,0.01,-0.018688718439873887,0.010170182910280587,0.0003112815601261122,0.00017018291028058664,True,True,exact
