GDLcode,region,country,period,education,health,income,shdi_official,pop,region_country,pc1,pc1_index
BRAr119,Rio de Janeiro,Brazil,Y2013,0.713,0.865,0.775,0.782,17084.0,Rio de Janeiro (BRA),0.8945734328626128,0.6948919389292919
BRAr119,Rio de Janeiro,Brazil,Y2019,0.742,0.887,0.762,0.794,17935.0,Rio de Janeiro (BRA),1.2419374540800068,0.738207450894789
BRAr120,Sao Paulo,Brazil,Y2013,0.696,0.858,0.79,0.779,43439.8,Sao Paulo (BRA),0.8200812401814971,0.685602930090361
BRAr120,Sao Paulo,Brazil,Y2019,0.724,0.88,0.777,0.791,45603.6,Sao Paulo (BRA),1.1605123414473202,0.728053922535196
BRAr121,Parana,Brazil,Y2013,0.675,0.843,0.779,0.763,11091.2,Parana (BRA),0.4103183915316946,0.6345064247254643
BRAr121,Parana,Brazil,Y2019,0.701,0.865,0.765,0.774,11643.6,Parana (BRA),0.7286064594999984,0.6741962307342669
BRAr122,Santa Catarina,Brazil,Y2013,0.678,0.853,0.782,0.768,6571.9,Santa Catarina (BRA),0.571363666455318,0.6545884081977114
BRAr122,Santa Catarina,Brazil,Y2019,0.704,0.875,0.769,0.78,6899.2,Santa Catarina (BRA),0.8979289278179978,0.6953103616012221
BRAr123,Rio Grande do Sul,Brazil,Y2013,0.683,0.853,0.778,0.768,11280.1,Rio Grande do Sul (BRA),0.5729194926356694,0.6547824162221897
BRAr123,Rio Grande do Sul,Brazil,Y2019,0.71,0.875,0.764,0.78,11842.0,Rio Grande do Sul (BRA),0.8981404805555444,0.6953367417516545
BRAr124,Mato Grosso do Sul,Brazil,Y2013,0.671,0.84,0.767,0.756,2595.4,Mato Grosso do Sul (BRA),0.24863591052716266,0.6143449830884788
BRAr124,Mato Grosso do Sul,Brazil,Y2019,0.697,0.862,0.754,0.768,2724.6,Mato Grosso do Sul (BRA),0.5752011718898425,0.6550669364919895
BRAr125,Mato Grosso,Brazil,Y2013,0.658,0.847,0.758,0.75,3138.2,Mato Grosso (BRA),0.16480366502740038,0.6038912906757955
BRAr125,Mato Grosso,Brazil,Y2019,0.683,0.869,0.744,0.762,3294.5,Mato Grosso (BRA),0.4761588130441338,0.6427165771639364
BRAr126,Goias,Brazil,Y2013,0.671,0.847,0.774,0.761,6234.1,Goias (BRA),0.38736671870784234,0.6316444027597307
BRAr126,Goias,Brazil,Y2019,0.697,0.869,0.76,0.772,6544.6,Goias (BRA),0.7056547866761462,0.6713342087685334
BRAr127,Distrito Federal,Brazil,Y2013,0.775,0.877,0.795,0.814,2774.3,Distrito Federal (BRA),1.628456259610483,0.786405476375865
BRAr127,Distrito Federal,Brazil,Y2019,0.807,0.899,0.781,0.827,2912.5,Distrito Federal (BRA),1.9883418472882142,0.8312823995086401
CHLr101,Tarapaca (incl Arica and Parinacota),Chile,Y2013,0.832,0.923,0.815,0.855,502.7,Tarapaca (incl Arica and (CHL),2.7200852652121537,0.9225291574879924
CHLr101,Tarapaca (incl Arica and Parinacota),Chile,Y2019,0.888,0.937,0.823,0.882,542.2,Tarapaca (incl Arica and (CHL),3.3361272384952403,0.9993482056193242
CHLr102,Antofagasta,Chile,Y2013,0.844,0.883,0.83,0.852,574.9,Antofagasta (CHL),2.465778466003521,0.8908176717520102
CHLr102,Antofagasta,Chile,Y2019,0.894,0.896,0.838,0.875,620.1,Antofagasta (CHL),3.028681426088603,0.961010404486756
CHLr103,Atacama,Chile,Y2013,0.751,0.939,0.809,0.83,295.2,Atacama (CHL),2.293519484585886,0.869337364307935
CHLr103,Atacama,Chile,Y2019,0.802,0.953,0.817,0.855,318.4,Atacama (CHL),2.874896858111116,0.9418338148359563
CHLr104,Coquimbo,Chile,Y2013,0.712,0.924,0.793,0.805,704.3,Coquimbo (CHL),1.7175781098359233,0.7975187705975809
CHLr104,Coquimbo,Chile,Y2019,0.761,0.938,0.801,0.83,759.6,Coquimbo (CHL),2.2850896434580106,0.868286182084278
CHLr105,Valparaiso (former Aconcagua),Chile,Y2013,0.789,0.917,0.823,0.841,1787.4,Valparaiso (former Aconca (CHL),2.418938293518135,0.8849768076215051
CHLr105,Valparaiso (former Aconcagua),Chile,Y2019,0.842,0.931,0.831,0.867,1927.8,Valparaiso (former Aconca (CHL),3.0141815069465077,0.9592022971908506
CHLr106,OHiggins,Chile,Y2013,0.681,0.919,0.806,0.796,908.4,OHiggins (CHL),1.552553638021217,0.7769405902251924
CHLr106,OHiggins,Chile,Y2019,0.727,0.933,0.814,0.82,979.8,OHiggins (CHL),2.0992664117885904,0.8451144431499032
CHLr107,Maule,Chile,Y2013,0.639,0.893,0.791,0.767,1057.8,Maule (CHL),0.8371342684365553,0.6877294043488095
CHLr107,Maule,Chile,Y2019,0.682,0.907,0.799,0.79,1140.9,Maule (CHL),1.3630482823492176,0.7533096987115343
CHLr108,Bio Bio,Chile,Y2013,0.701,0.916,0.8,0.801,2167.1,Bio Bio (CHL),1.6069243962206479,0.7837205014523447
CHLr108,Bio Bio,Chile,Y2019,0.749,0.93,0.808,0.826,2337.4,Bio Bio (CHL),2.1675030098911656,0.8536233934183799
CHLr109,Arbucania,Chile,Y2013,0.644,0.896,0.77,0.763,990.3,Arbucania (CHL),0.7326022873782481,0.6746945014810928
CHLr109,Arbucania,Chile,Y2019,0.688,0.909,0.778,0.786,1068.1,Arbucania (CHL),1.2539077277539021,0.7397001170918659
CHLr110,Los Lagos (incl Los Rios),Chile,Y2013,0.646,0.91,0.782,0.772,1243.0,Los Lagos (incl Los Rios) (CHL),1.0073753568539978,0.7089580850755044
CHLr110,Los Lagos (incl Los Rios),Chile,Y2019,0.689,0.924,0.79,0.795,1340.7,Los Lagos (incl Los Rios) (CHL),1.5332893707666588,0.7745383794382292
CHLr111,Aisen,Chile,Y2013,0.673,0.909,0.786,0.783,108.8,Aisen (CHL),1.2161314756353445,0.7349895034395988
CHLr111,Aisen,Chile,Y2019,0.718,0.922,0.794,0.807,117.3,Aisen (CHL),1.74436983596257,0.800859638571034
CHLr112,Magallanes and La Antartica Chilena,Chile,Y2013,0.788,0.899,0.831,0.838,178.0,Magallanes and La Antarti (CHL),2.270476037927165,0.8664638983514609
CHLr112,Magallanes and La Antartica Chilena,Chile,Y2019,0.841,0.912,0.839,0.864,192.0,Magallanes and La Antarti (CHL),2.8541777578669594,0.9392501896481927
CHLr113,Region Metropolitana,Chile,Y2013,0.821,0.915,0.836,0.857,7053.7,Region Metropolitana (CHL),2.725312259118143,0.9231809518686681
CHLr113,Region Metropolitana,Chile,Y2019,0.877,0.929,0.844,0.883,7607.9,Region Metropolitana (CHL),3.3413542324012298,1.0
COLr101,Antioquia (incl Medellin),Colombia,Y2013,0.64,0.872,0.75,0.748,6294.1,Antioquia (incl Medellin) (COL),0.2623308959585659,0.6160527169615561
COLr101,Antioquia (incl Medellin),Colombia,Y2019,0.678,0.888,0.763,0.772,6754.5,Antioquia (incl Medellin) (COL),0.818049264062409,0.6853495472397378
COLr102,Atlantico (incl Barranquilla),Colombia,Y2013,0.677,0.86,0.745,0.757,2305.6,Atlantico (incl Barranqui (COL),0.33896504533187943,0.6256088229811487
COLr102,Atlantico (incl Barranquilla),Colombia,Y2019,0.726,0.879,0.762,0.786,2573.9,Atlantico (incl Barranqui (COL),1.038678786946243,0.7128615523832864
COLr103,Bogota D.C.,Colombia,Y2013,0.736,0.869,0.773,0.791,7706.1,Bogota D.C. (COL),1.0836421789143096,0.7184683862055584
COLr103,Bogota D.C.,Colombia,Y2019,0.769,0.889,0.786,0.813,8242.6,Bogota D.C. (COL),1.6508619212146096,0.7891994119708845
COLr104,Bolivar (Sur and Norte),Colombia,Y2013,0.64,0.861,0.699,0.728,2011.1,Bolivar (Sur and Norte) (COL),-0.2867623955289738,0.5475820188326973
COLr104,Bolivar (Sur and Norte),Colombia,Y2019,0.676,0.89,0.718,0.756,2194.3,Bolivar (Sur and Norte) (COL),0.4547927083894998,0.6400522719817807
COLr105,Boyaca,Colombia,Y2013,0.626,0.872,0.724,0.734,1319.1,Boyaca (COL),-0.049937011617207865,0.5771136114098789
COLr105,Boyaca,Colombia,Y2019,0.667,0.891,0.738,0.76,1335.5,Boyaca (COL),0.5694817902014592,0.654353742462596
COLr106,Caldas,Colombia,Y2013,0.636,0.89,0.753,0.752,987.5,Caldas (COL),0.4671776791298167,0.641596649970078
COLr106,Caldas,Colombia,Y2019,0.678,0.906,0.767,0.778,1034.0,Caldas (COL),1.0589049204343204,0.7153837057256162
COLr107,Caqueta,Colombia,Y2013,0.568,0.865,0.695,0.699,397.6,Caqueta (COL),-0.7728754316652874,0.4869648168566505
COLr107,Caqueta,Colombia,Y2019,0.596,0.883,0.702,0.717,499.9,Caqueta (COL),-0.31306643646625576,0.5443019641051908
COLr108,Cauca,Colombia,Y2013,0.584,0.855,0.691,0.701,1309.3,Cauca (COL),-0.8104724209034352,0.48227655688227494
COLr108,Cauca,Colombia,Y2019,0.612,0.871,0.698,0.719,1442.7,Cauca (COL),-0.37374641268155995,0.536735307585588
COLr109,Cesar,Colombia,Y2013,0.601,0.84,0.698,0.707,991.5,Cesar (COL),-0.8077948302947661,0.48261044640728107
COLr109,Cesar,Colombia,Y2019,0.64,0.859,0.707,0.729,1076.8,Cesar (COL),-0.2436278353511215,0.552960801445134
COLr110,Cordoba,Colombia,Y2013,0.572,0.855,0.667,0.688,1650.4,Cordoba (COL),-1.0923201017873134,0.447130785161338
COLr110,Cordoba,Colombia,Y2019,0.61,0.876,0.687,0.716,1788.6,Cordoba (COL),-0.42095391247994723,0.5308486385655442
COLr111,Cundinamarca,Colombia,Y2013,0.63,0.882,0.743,0.744,2665.3,Cundinamarca (COL),0.25047627756800367,0.614574472718116
COLr111,Cundinamarca,Colombia,Y2019,0.676,0.903,0.76,0.774,2803.9,Cundinamarca (COL),0.9524742463048111,0.7021120401034948
COLr112,Choco,Colombia,Y2013,0.597,0.812,0.63,0.674,461.4,Choco (COL),-1.7215374785988098,0.36866879385130574
COLr112,Choco,Colombia,Y2019,0.634,0.84,0.633,0.696,523.0,Choco (COL),-1.1170260425273622,0.44405000993310934
COLr113,Huila,Colombia,Y2013,0.558,0.855,0.731,0.704,1089.9,Huila (COL),-0.6596406038692412,0.5010849451333813
COLr113,Huila,Colombia,Y2019,0.578,0.887,0.745,0.726,1208.1,Huila (COL),-0.03577370568205251,0.5788797437961725
COLr114,Guajira,Colombia,Y2013,0.61,0.774,0.65,0.675,781.2,Guajira (COL),-1.9044424039068348,0.34586096115475307
COLr114,Guajira,Colombia,Y2019,0.654,0.779,0.66,0.695,1002.3,Guajira (COL),-1.4589145246510529,0.4014172853740329
COLr115,Magdalena,Colombia,Y2013,0.599,0.855,0.688,0.706,1210.9,Magdalena (COL),-0.7313102018129963,0.49214790750808207
COLr115,Magdalena,Colombia,Y2019,0.632,0.863,0.702,0.726,1318.4,Magdalena (COL),-0.2943111879812584,0.546640701396752
COLr116,Meta,Colombia,Y2013,0.63,0.885,0.734,0.742,862.8,Meta (COL),0.2106060174843536,0.609602740983585
COLr116,Meta,Colombia,Y2019,0.683,0.917,0.751,0.778,1005.8,Meta (COL),1.0880908542565189,0.7190231260123489
COLr117,Narino,Colombia,Y2013,0.581,0.859,0.688,0.7,1631.4,Narino (COL),-0.809936786986964,0.48234334922661937
COLr117,Narino,Colombia,Y2019,0.611,0.88,0.7,0.722,1824.8,Narino (COL),-0.2602515044471753,0.550887867307865
COLr118,Norte de Santander,Colombia,Y2013,0.596,0.86,0.735,0.722,1346.6,Norte de Santander (COL),-0.3053734046891435,0.5452612678604405
COLr118,Norte de Santander,Colombia,Y2019,0.644,0.871,0.751,0.75,1418.6,Norte de Santander (COL),0.2867982756706483,0.6191037441662987
COLr119,Quindio,Colombia,Y2013,0.642,0.869,0.766,0.753,566.4,Quindio (COL),0.37400734970599064,0.6299785195003673
COLr119,Quindio,Colombia,Y2019,0.69,0.897,0.779,0.784,591.5,Quindio (COL),1.1375528391884828,0.7251909242565339
COLr120,Risaralda,Colombia,Y2013,0.609,0.873,0.756,0.738,921.7,Risaralda (COL),0.10861503131469515,0.5968846944618934
COLr120,Risaralda,Colombia,Y2019,0.643,0.891,0.77,0.761,995.7,Risaralda (COL),0.6679618999837861,0.6666339905973623
COLr121,Santander,Colombia,Y2013,0.637,0.869,0.742,0.743,2129.7,Santander (COL),0.14069010848310928,0.6008843844240647
COLr121,Santander,Colombia,Y2019,0.697,0.883,0.765,0.778,2156.0,Santander (COL),0.9086216624881209,0.6966437215586649
COLr122,Sucre,Colombia,Y2013,0.592,0.874,0.691,0.71,835.6,Sucre (COL),-0.5357206850078806,0.5165374802272313
COLr122,Sucre,Colombia,Y2019,0.641,0.9,0.712,0.744,891.0,Sucre (COL),0.27789228460403537,0.6179931871164969
COLr123,Tolima,Colombia,Y2013,0.608,0.858,0.716,0.72,1405.7,Tolima (COL),-0.40252802674059157,0.533146305063706
COLr123,Tolima,Colombia,Y2019,0.648,0.887,0.725,0.747,1473.4,Tolima (COL),0.28398682304040584,0.6187531623483578
COLr124,Valle (incl Cali),Colombia,Y2013,0.659,0.877,0.763,0.761,4420.4,Valle (incl Cali) (COL),0.5593673566081974,0.653092495348408
COLr124,Valle (incl Cali),Colombia,Y2019,0.71,0.896,0.778,0.791,4827.0,Valle (incl Cali) (COL),1.256392551336951,0.7400099690024537
COLr125,Arauca,Colombia,Y2013,0.6,0.873,0.73,0.726,220.0,Arauca (COL),-0.16898827650322296,0.5622681865135266
