geocode,year,mn,div,dist,pop91,rainm,rainsd,jamuna_m,padma_m,treat,smp1,treatd
14243.0,3.0,1.4025,1.0,42.0,123350.0,59.75582,61.99453,222007.36,111763.695,0.0,0.0,0.0
14243.0,4.0,1.1933333,1.0,42.0,123350.0,57.461597,53.454224,222007.36,111763.695,0.0,0.0,0.0
14243.0,5.0,1.0833333,1.0,42.0,123350.0,61.612953,61.23772,222007.36,111763.695,0.0,0.0,0.0
14243.0,6.0,1.4033333,1.0,42.0,123350.0,54.44788,54.332905,222007.36,111763.695,0.0,0.0,0.0
14243.0,7.0,1.165,1.0,42.0,123350.0,59.28074,61.789078,222007.36,111763.695,0.0,0.0,0.0
14273.0,1.0,1.9166666,1.0,42.0,200900.0,58.486,56.496067,207336.45,92404.32,0.0,0.0,0.0
14273.0,2.0,2.3166666,1.0,42.0,200900.0,53.283184,51.787785,207336.45,92404.32,0.0,0.0,0.0
14273.0,3.0,2.14,1.0,42.0,200900.0,57.75365,58.557186,207336.45,92404.32,0.0,0.0,0.0
14273.0,4.0,2.3566666,1.0,42.0,200900.0,56.53681,52.058174,207336.45,92404.32,0.0,0.0,0.0
14273.0,5.0,1.8366667,1.0,42.0,200900.0,60.79795,60.264606,207336.45,92404.32,0.0,0.0,0.0
14273.0,6.0,2.3799999,1.0,42.0,200900.0,53.039227,51.982544,207336.45,92404.32,0.0,0.0,0.0
14273.0,7.0,2.125,1.0,42.0,200900.0,56.99997,58.734093,207336.45,92404.32,0.0,0.0,0.0
14284.0,1.0,1.1533333,1.0,42.0,143190.0,58.486,56.496067,208362.12,97232.97,0.0,0.0,0.0
14284.0,2.0,1.6600001,1.0,42.0,143190.0,53.283184,51.787785,208362.12,97232.97,0.0,0.0,0.0
14284.0,3.0,1.45,1.0,42.0,143190.0,57.75365,58.557186,208362.12,97232.97,0.0,0.0,0.0
14284.0,4.0,1.37,1.0,42.0,143190.0,56.53681,52.058174,208362.12,97232.97,0.0,0.0,0.0
14284.0,5.0,1.2933333,1.0,42.0,143190.0,60.79795,60.264606,208362.12,97232.97,0.0,0.0,0.0
14284.0,6.0,1.64,1.0,42.0,143190.0,53.039227,51.982544,208362.12,97232.97,0.0,0.0,0.0
14284.0,7.0,1.605,1.0,42.0,143190.0,56.99997,58.734093,208362.12,97232.97,0.0,0.0,0.0
17838.0,1.0,1.2133332,1.0,78.0,286790.0,68.976456,69.42302,230946.89,113139.78,0.0,0.0,0.0
17838.0,2.0,1.27,1.0,78.0,286790.0,60.616917,61.17774,230946.89,113139.78,0.0,0.0,0.0
17838.0,3.0,1.3825,1.0,78.0,286790.0,64.911064,69.05922,230946.89,113139.78,0.0,0.0,0.0
17838.0,4.0,1.2633333,1.0,78.0,286790.0,64.05924,59.89715,230946.89,113139.78,0.0,0.0,0.0
17838.0,5.0,1.1033334,1.0,78.0,286790.0,67.24595,67.38229,230946.89,113139.78,0.0,0.0,0.0
17838.0,6.0,1.35,1.0,78.0,286790.0,60.119812,60.576416,230946.89,113139.78,0.0,0.0,0.0
17838.0,7.0,1.255,1.0,78.0,286790.0,65.314354,69.22906,230946.89,113139.78,0.0,0.0,0.0
17852.0,1.0,1.04,1.0,78.0,106380.0,72.11472,73.60875,248039.16,130548.49,0.0,0.0,0.0
17852.0,2.0,1.0166667,1.0,78.0,106380.0,62.325657,63.783154,248039.16,130548.49,0.0,0.0,0.0
17852.0,3.0,1.085,1.0,78.0,106380.0,66.927246,72.5082,248039.16,130548.49,0.0,0.0,0.0
17852.0,4.0,1.0366666,1.0,78.0,106380.0,65.99407,62.22714,248039.16,130548.49,0.0,0.0,0.0
17852.0,5.0,1.0366666,1.0,78.0,106380.0,68.874084,69.124306,248039.16,130548.49,0.0,0.0,0.0
17852.0,6.0,1.0333333,1.0,78.0,106380.0,62.034557,63.04993,248039.16,130548.49,0.0,0.0,0.0
