year,Cluster,Division,District,rural,female,age5,age60,Age,hsize,DrinkWater,Toilet,Electricity,Floor,Roof,padma_m,jamuna_m,treat,smp1,yr
1.0,122.0,1.0,6.0,1.0,0.55440414,0.21761657,0.062176164,19.367876,7.165803,0.0,0.0,0.0,0.0,0.25,66725.055,182398.97,0.0,0.0,0.0
1.0,123.0,1.0,6.0,1.0,0.46969697,0.22222222,0.08585858,23.20202,6.737374,0.0,0.032258064,0.0,0.032258064,0.7419355,66725.055,182398.97,0.0,0.0,0.0
7.0,15.0,1.0,6.0,1.0,0.5,0.1491228,0.10526316,28.245613,10.280702,0.0,0.0,0.0,0.05263158,1.0,66725.055,182398.97,0.0,0.0,1.0
7.0,54.0,1.0,6.0,0.0,0.5069444,0.11111111,0.090277776,27.958334,13.305555,0.0,0.05882353,0.85294116,0.2647059,1.0,66725.055,182398.97,0.0,0.0,1.0
3.0,124.0,1.0,6.0,1.0,0.56,0.14666666,0.062222224,23.564444,6.6444445,0.0,0.069767445,0.18604651,0.023255814,0.7906977,66725.055,182398.97,0.0,0.0,0.0
6.0,19.0,1.0,6.0,0.0,0.44680852,0.09219858,0.09219858,28.829786,5.35461,0.09090909,0.3939394,1.0,0.72727275,1.0,66725.055,182398.97,0.0,0.0,1.0
2.0,5.065143e+06,1.0,6.0,1.0,0.43157893,0.12631579,0.07368421,22.263159,5.8,0.0,0.05,0.15,,0.85,66725.055,182398.97,0.0,0.0,0.0
1.0,124.0,1.0,6.0,1.0,0.5418502,0.14096916,0.08370044,25.171806,6.4801764,0.0,0.025,0.1,0.05,0.625,66725.055,182398.97,0.0,0.0,0.0
7.0,19.0,1.0,6.0,1.0,0.5065789,0.14473684,0.118421055,27.138159,11.0,0.0,0.0,0.71428573,0.0,1.0,66725.055,182398.97,0.0,0.0,1.0
3.0,121.0,1.0,6.0,1.0,0.5026455,0.12698413,0.08465608,25.555555,6.5026455,0.060606062,0.18181819,0.4848485,0.24242425,1.0,66725.055,182398.97,0.0,0.0,0.0
1.0,120.0,1.0,6.0,1.0,0.47179487,0.12820514,0.08717949,25.907692,6.1384616,0.0,0.083333336,0.16666667,0.0,0.4722222,66725.055,182398.97,0.0,0.0,0.0
