"index","viol","prop","murd"
61,"Dprison*Dafdc","Dprison*Dafdc","Dprison*Dafdc"
62,"Dprison*Dgun","Dprison*Dgun","Dprison*Dgun"
63,"Dprison*Dbeer","Dprison*Dbeer","Dprison*Dbeer"
64,"Dpolice*Dur","Dpolice*Dur","Dpolice*Dur"
65,"Dpolice*Dinc","Dpolice*Dinc","Dpolice*Dinc"
66,"Dpolice*Dpov","Dpolice*Dpov","Dpolice*Dpov"
67,"Dpolice*Dafdc","Dpolice*Dafdc","Dpolice*Dafdc"
68,"Dpolice*Dgun","Dpolice*Dgun","Dpolice*Dgun"
69,"Dpolice*Dbeer","Dpolice*Dbeer","Dpolice*Dbeer"
70,"Dur*Dinc","Dur*Dinc","Dur*Dinc"
71,"Dur*Dpov","Dur*Dpov","Dur*Dpov"
72,"Dur*Dafdc","Dur*Dafdc","Dur*Dafdc"
73,"Dur*Dgun","Dur*Dgun","Dur*Dgun"
74,"Dur*Dbeer","Dur*Dbeer","Dur*Dbeer"
75,"Dinc*Dpov","Dinc*Dpov","Dinc*Dpov"
76,"Dinc*Dafdc","Dinc*Dafdc","Dinc*Dafdc"
77,"Dinc*Dgun","Dinc*Dgun","Dinc*Dgun"
78,"Dinc*Dbeer","Dinc*Dbeer","Dinc*Dbeer"
79,"Dpov*Dafdc","Dpov*Dafdc","Dpov*Dafdc"
80,"Dpov*Dgun","Dpov*Dgun","Dpov*Dgun"
81,"Dpov*Dbeer","Dpov*Dbeer","Dpov*Dbeer"
82,"Dafdc*Dgun","Dafdc*Dgun","Dafdc*Dgun"
83,"Dafdc*Dbeer","Dafdc*Dbeer","Dafdc*Dbeer"
84,"Dgun*Dbeer","Dgun*Dbeer","Dgun*Dbeer"
85,"Dprison*Dpolice*t","Dprison*Dpolice*t","Dprison*Dpolice*t"
86,"Dprison*Dur*t","Dprison*Dur*t","Dprison*Dur*t"
87,"Dprison*Dinc*t","Dprison*Dinc*t","Dprison*Dinc*t"
88,"Dprison*Dpov*t","Dprison*Dpov*t","Dprison*Dpov*t"
89,"Dprison*Dafdc*t","Dprison*Dafdc*t","Dprison*Dafdc*t"
90,"Dprison*Dgun*t","Dprison*Dgun*t","Dprison*Dgun*t"
91,"Dprison*Dbeer*t","Dprison*Dbeer*t","Dprison*Dbeer*t"
92,"Dpolice*Dur*t","Dpolice*Dur*t","Dpolice*Dur*t"
93,"Dpolice*Dinc*t","Dpolice*Dinc*t","Dpolice*Dinc*t"
94,"Dpolice*Dpov*t","Dpolice*Dpov*t","Dpolice*Dpov*t"
95,"Dpolice*Dafdc*t","Dpolice*Dafdc*t","Dpolice*Dafdc*t"
96,"Dpolice*Dgun*t","Dpolice*Dgun*t","Dpolice*Dgun*t"
97,"Dpolice*Dbeer*t","Dpolice*Dbeer*t","Dpolice*Dbeer*t"
98,"Dur*Dinc*t","Dur*Dinc*t","Dur*Dinc*t"
99,"Dur*Dpov*t","Dur*Dpov*t","Dur*Dpov*t"
100,"Dur*Dafdc*t","Dur*Dafdc*t","Dur*Dafdc*t"
101,"Dur*Dgun*t","Dur*Dgun*t","Dur*Dgun*t"
102,"Dur*Dbeer*t","Dur*Dbeer*t","Dur*Dbeer*t"
103,"Dinc*Dpov*t","Dinc*Dpov*t","Dinc*Dpov*t"
104,"Dinc*Dafdc*t","Dinc*Dafdc*t","Dinc*Dafdc*t"
105,"Dinc*Dgun*t","Dinc*Dgun*t","Dinc*Dgun*t"
106,"Dinc*Dbeer*t","Dinc*Dbeer*t","Dinc*Dbeer*t"
107,"Dpov*Dafdc*t","Dpov*Dafdc*t","Dpov*Dafdc*t"
108,"Dpov*Dgun*t","Dpov*Dgun*t","Dpov*Dgun*t"
109,"Dpov*Dbeer*t","Dpov*Dbeer*t","Dpov*Dbeer*t"
110,"Dafdc*Dgun*t","Dafdc*Dgun*t","Dafdc*Dgun*t"
111,"Dafdc*Dbeer*t","Dafdc*Dbeer*t","Dafdc*Dbeer*t"
112,"Dgun*Dbeer*t","Dgun*Dbeer*t","Dgun*Dbeer*t"
113,"Dprison*Dpolice*t^2","Dprison*Dpolice*t^2","Dprison*Dpolice*t^2"
114,"Dprison*Dur*t^2","Dprison*Dur*t^2","Dprison*Dur*t^2"
115,"Dprison*Dinc*t^2","Dprison*Dinc*t^2","Dprison*Dinc*t^2"
116,"Dprison*Dpov*t^2","Dprison*Dpov*t^2","Dprison*Dpov*t^2"
