Country_ISO,year,n_regions,GINIW,GINI_unw,diff
ROU,1995,42,0.06056530837587172,0.04319789040915389,0.017367417966717834
ROU,2000,42,0.05339243950634463,0.035777075041090255,0.017615364465254378
ROU,2005,42,0.05764928136667044,0.04034092797571642,0.017308353390954018
ROU,2010,42,0.0537516882036871,0.03979439136425242,0.013957296839434682
RUS,1995,77,0.06934589076369312,0.07399135821524007,-0.004645467451546953
RUS,2000,77,0.07109197718673799,0.07771724117184989,-0.006625263985111901
RUS,2005,77,0.07248765873968488,0.07339435983330647,-0.0009067010936215925
RUS,2010,77,0.07032122033292797,0.07627285754336945,-0.005951637210441479
SLV,1996,14,0.06939154033436383,0.055360481179501556,0.014031059154862274
SLV,1999,14,0.06386260716638972,0.04934599731660484,0.014516609849784881
SLV,2010,14,0.05536288513989966,0.04236490454348853,0.012997980596411135
SRB,2002,25,0.03947819032592357,0.039388747339090535,8.944298683303403e-05
SVK,1995,8,0.024669042822873577,0.024893949814107065,-0.00022490699123348806
SVK,2000,8,0.022428961481501027,0.023189082378099888,-0.0007601208965988607
SVK,2005,8,0.026493522730357717,0.028216993788805007,-0.0017234710584472894
SVK,2010,8,0.027238532726966053,0.029199446655075942,-0.001960913928109889
SVN,1995,12,0.0204935000477709,0.02502844518992736,-0.004534945142156459
SVN,2000,12,0.02540276837421463,0.02853941619394161,-0.00313664781972698
SVN,2005,12,0.025688109425705385,0.02859467982322075,-0.002906570397515365
SVN,2010,12,0.025322581335603982,0.028698201418094264,-0.0033756200824902813
SWE,1995,21,0.04542192543889696,0.044057381805415505,0.0013645436334814576
SWE,2000,21,0.04846091813163363,0.04527551467269274,0.0031854034589408955
SWE,2005,21,0.05142651370956314,0.04239162478897478,0.00903488892058836
SWE,2010,21,0.04293087016444419,0.045270817439978316,-0.0023399472755341252
THA,1995,72,0.10570900560422727,0.08684787772395752,0.01886112788026975
THA,2000,72,0.1010172283214308,0.0804545229187819,0.0205627054026489
THA,2005,72,0.10436932429923639,0.08145361443769021,0.022915709861546174
THA,2010,72,0.08411467303751792,0.06738278993254965,0.016731883104968273
TUR,1995,61,0.05350047928653497,0.04208867899266546,0.011411800293869512
TUR,2000,61,0.04925733802443453,0.03557488542885798,0.013682452595576551
TZA,1994,20,0.08771989076830286,0.08272153823655723,0.004998352531745631
TZA,2000,20,0.09241856807612643,0.08728783232434319,0.005130735751783244
TZA,2005,20,0.09149313551349603,0.08298582332793905,0.008507312185556976
TZA,2010,20,0.0933376025084667,0.08526589670723722,0.008071705801229484
UKR,2005,26,0.0536460448736711,0.046949250171048916,0.006696794702622182
UKR,2010,26,0.050007590795802,0.044203913539819666,0.005803677255982333
URY,1995,19,0.1487232125707486,0.08191700714024525,0.06680620543050336
URY,2000,19,0.14444092355312738,0.0824218618104858,0.062019061742641574
USA,1995,51,0.05077058808724163,0.07850686684331251,-0.027736278756070883
USA,2000,51,0.05044597828166986,0.07632059077953719,-0.025874612497867336
USA,2005,51,0.050661381035763085,0.07817809851003019,-0.0275167174742671
USA,2010,51,0.051022163736408,0.07442819108004965,-0.023406027343641653
UZB,1995,12,0.0841985665611533,0.08787118275942808,-0.003672616198274775
UZB,2000,12,0.08711046333496818,0.08956211198322797,-0.002451648648259794
UZB,2005,12,0.08948389866730122,0.09167762805771329,-0.002193729390412069
VNM,1995,39,0.08534718554597072,0.0809200193417824,0.004427166204188315
VNM,2000,39,0.07543616741367479,0.07502309289190487,0.0004130745217699183
VNM,2006,39,0.07095364791848663,0.07110634014835936,-0.0001526922298727279
VNM,2008,39,0.07849916244362994,0.07784067105913538,0.0006584913844945584
ZAF,1995,4,0.03703398261514485,0.037636658302633484,-0.0006026756874886324
ZAF,2000,4,0.03651398770314187,0.03793097300026776,-0.001416985297125889
ZAF,2005,4,0.038375406807958236,0.04081365549316039,-0.002438248685202156
ZAF,2010,4,0.035853138720871244,0.039879270833153894,-0.00402613211228265
