Country_ISO,year,GINIW,GINIW_pred_GDP_pc
SLV,1999,0.06386260716638972,0.0590334422886371
SLV,2010,0.05536288513989966,0.0500717125833034
SRB,2002,0.03947819032592357,0.0379595384001731
SVK,1995,0.024669042822873577,0.0222323574125766
SVK,2000,0.022428961481501027,0.0210451502352952
SVK,2005,0.026493522730357717,0.0248814020305871
SVK,2010,0.027238532726966053,0.0275290589779615
SVN,1995,0.0204935000477709,0.0213678479194641
SVN,2000,0.02540276837421463,0.0216520968824625
SVN,2005,0.025688109425705385,0.0221247095614671
SVN,2010,0.025322581335603982,0.0219681039452552
SWE,1995,0.04542192543889696,0.0439149662852287
SWE,2000,0.04846091813163363,0.0466713570058345
SWE,2005,0.05142651370956314,0.0479231104254722
SWE,2010,0.04293087016444419,0.0424584820866584
THA,1995,0.10570900560422727,0.0983531028032302
THA,2000,0.1010172283214308,0.092679388821125
THA,2005,0.10436932429923639,0.0953718051314354
THA,2010,0.08411467303751792,0.0744733065366745
TUR,1995,0.05350047928653497,0.0604885853826999
