intercept_mgwr_cs,beta1_mgwr_cs,beta2_mgwr_cs,beta3_mgwr_cs,beta4_mgwr_cs,unit_id
3.2132245440121814,2.9187019429001775,3.792666512615051,3.1702996655034,2.791186588191491,106
4.422907700322572,2.7330362125494467,3.680849583584081,3.1220903558797395,2.5933482113341286,107
6.343677801514911,2.5610316961975674,3.4650190653526822,3.0306123712561734,2.2251244187311676,108
8.709624826852508,2.6187363176560274,3.0640513730841654,2.868334010204577,1.8054847109732777,109
11.254054644861316,2.899648372370196,2.6723561057202345,2.646428150629621,1.399330016681587,110
14.49069635711425,2.840046055590784,2.396011875983282,2.492951961709117,1.0304495567109697,111
18.189152265929543,2.4508535935031817,2.3070870051215184,2.4694250640340485,0.6871374807240307,112
20.6984434127274,2.1800676687357528,2.4363887848560366,2.6664504995998026,0.8244060719486541,113
21.082858866115732,2.6428091161859184,2.7682734077617317,3.1322093641413775,1.367746862620374,114
20.152910062913595,3.6146812052125723,3.1690730139174805,3.7177393060249986,1.9926711261850136,115
19.350285622013654,4.424462071564595,3.423566710775523,4.07796414789116,2.626676298411749,116
19.041728568669498,4.850745378384657,3.537459032656277,4.281050603537549,3.0510478204105604,117
18.984962730802387,5.026495213060064,3.609006487594185,4.377032624828924,3.2261364353594946,118
18.910687867515875,5.094082476828454,3.6590152557973563,4.453538919524804,3.3032441189654778,119
3.0453228590622317,2.8034742549039082,3.7446869330438135,3.2965604900093384,2.8061151525569605,120
3.628135627150293,2.7228306787328687,3.6584627944383445,3.274213641982767,2.682563197606262,121
4.748691721138698,2.566330326852303,3.5194144719630223,3.2328548679528666,2.514724612722833,122
6.629889833325237,2.414943617442701,3.3062442646404415,3.149085890870034,2.1437117920152664,123
8.900408444804622,2.4649844459261345,2.959775075628054,3.0046283244546963,1.7233804988985801,124
11.223963243477847,2.759881943699094,2.608672095013586,2.761562530522519,1.4242967430256928,125
14.243282716567968,2.9208975618345976,2.3503700552252296,2.5249591982178363,1.0837032868960663,126
17.65873450612171,2.724084311265009,2.2955600107507657,2.4801926573436694,0.7807834641440414,127
20.06242711039956,2.499738108031186,2.4632598139760824,2.7438251343294096,0.9025361502212441,128
20.495364914448196,2.970904866156791,2.7963933309700613,3.2639064752829,1.408595526965786,129
19.81670391318662,3.8510995308105174,3.180189047070724,3.7964475655817513,2.03365629730146,130
19.161560552524467,4.606855798756961,3.375139774594421,4.137315107361705,2.7227218296070146,131
19.090137240574162,4.937035497132179,3.4889124763243484,4.334876350414939,3.0412728741418715,132
19.16647119365414,5.0192076449519405,3.551605933511787,4.446648256789188,3.1463817000223977,133
19.129225111105555,5.053089682180902,3.6003300184896867,4.520388529587697,3.215979857239057,134
3.5676543774746925,2.586395472811249,3.6371179310010087,3.374792912022833,2.756465676161613,135
4.23309017951636,2.4810366470853147,3.553143120714753,3.3658868242287663,2.611229050319036,136
5.3678543042173406,2.3412498167426135,3.4198399577737257,3.328229418225832,2.3989957304568104,137
7.020308701379971,2.2586685288603587,3.223425489809623,3.267366127328437,2.070587944490734,138
9.009599899627798,2.355757371212206,2.9189151302448084,3.133770751263114,1.731777461412538,139
11.216467228805104,2.6054094016622007,2.623738184130671,2.8679607139877445,1.5041145731065202,140
14.155615260780165,2.827221760855488,2.363669456136718,2.562998201412425,1.149005523127845,141
17.55485651881362,2.709729067078025,2.2802971864496397,2.5044991615946497,0.7129587855776812,142
19.95477645439465,2.60698514135851,2.4304762874784824,2.866545715709846,0.6485754679110849,143
20.594422476752356,3.0239279458089943,2.775125154458143,3.3970985240986176,1.0995447243947984,144
19.88587258481441,3.9746982198649,3.129749598873765,3.8903671264473028,1.8548349455667286,145
19.284344325045105,4.686822378647563,3.3231810110177085,4.197700233156801,2.623572246942511,146
19.23499715728506,4.969751502192223,3.429045080144813,4.3961370816111724,2.969761305195508,147
19.329147351349246,5.026880128312335,3.5001788193958165,4.522937061495191,3.0672180880986915,148
19.326796379286602,4.993893487410372,3.553914148182467,4.589857310552775,3.1324753300493304,149
4.009700472296487,2.3888855154078636,3.571250793997578,3.443740007508326,2.78372382375745,150
4.773587010687134,2.2736231688806035,3.49487392334715,3.4223814963949586,2.619953253690964,151
5.866045997867229,2.178918151766736,3.3921438339327943,3.405278130435754,2.351051557188547,152
7.294556398648192,2.1754627750270905,3.2328657406557424,3.363913132337531,2.0148943279145284,153
8.969602211684672,2.3206789579683265,2.994628682125044,3.2460522054061856,1.7673724491464615,154
11.108857107793746,2.533218560165296,2.7158606678419366,3.0094707600797883,1.563739081907016,155
14.142845072583242,2.6209783169874967,2.4625107432384574,2.718296021840893,1.1392077988686022,156
