unit_id,coord_i,coord_j,alpha_true,alpha_hat,se_alpha,t_stat,p_value,significant_5pct
127,9,8,21.138145959682596,21.005091883374668,0.2789957496943492,75.2882146283109,0.0,1
128,9,9,24.663564011715266,24.483169733467783,0.2826207108900271,86.62907136694109,0.0,1
129,9,10,28.43202123164027,28.399990153598015,0.2837124024451105,100.1013346925943,0.0,1
130,9,11,32.46027252235366,32.36297412824732,0.28743553093457597,112.59211421434726,0.0,1
131,9,12,36.76622785477404,36.20292258131012,0.2939095706395583,123.17707961170231,0.0,1
132,9,13,41.36903189719904,41.169013441960566,0.30219033022681013,136.23537659547546,0.0,1
133,9,14,46.289149134238635,45.49044166492322,0.3094096628852714,147.02333870481286,0.0,1
134,9,15,51.548454853771354,50.72599113717452,0.3278068416932784,154.74354005288794,0.0,1
135,10,1,2.0681731724173913,2.066576240012554,0.2756501191337039,7.497099027227927,3.5482727867020003e-13,1
136,10,2,4.27892435387168,4.078569096977776,0.2754227288685623,14.80839694578786,0.0,1
137,10,3,6.642082744805096,7.281478748544531,0.27502426430043364,26.47576848197772,0.0,1
138,10,4,9.168155161948565,9.307799194240301,0.2760848628241008,33.71354408579252,0.0,1
139,10,5,11.868372752582685,11.51991718938816,0.2792527155894079,41.252659495444895,0.0,1
140,10,6,14.75474092923811,14.964431292260869,0.28046326287875384,53.35611922453492,0.0,1
141,10,7,17.840092746849468,18.064167195433154,0.2823395312366232,63.980297467781554,0.0,1
142,10,8,21.138145959682596,21.16617128733571,0.2819853471419851,75.06124520958933,0.0,1
143,10,9,24.663564011715266,24.736252743635077,0.28375598143472514,87.17438349163179,0.0,1
144,10,10,28.43202123164027,28.241427262735606,0.2826418687536641,99.9194754381891,0.0,1
145,10,11,32.46027252235366,32.49434987651332,0.2856609302130059,113.75146700069759,0.0,1
146,10,12,36.76622785477404,36.900283229659635,0.2904186167643504,127.05894560334274,0.0,1
147,10,13,41.36903189719904,41.623074918589815,0.30393307773521083,136.94815723496936,0.0,1
148,10,14,46.289149134238635,46.139240704290685,0.30046072671678636,153.56163585326556,0.0,1
149,10,15,51.548454853771354,51.31835208935246,0.31784973324290944,161.45475903273316,0.0,1
150,11,1,2.0681731724173913,1.876446794737198,0.2753934436003692,6.81369450995413,3.093902911643909e-11,1
151,11,2,4.27892435387168,4.005581932202204,0.2760576513302989,14.509947153790655,0.0,1
152,11,3,6.642082744805096,6.8044598398427585,0.2755567039312591,24.693501347512896,0.0,1
153,11,4,9.168155161948565,9.21727612186883,0.27593339063826905,33.403989638760635,0.0,1
154,11,5,11.868372752582685,11.952532021121279,0.277573075874004,43.06084797124478,0.0,1
155,11,6,14.75474092923811,14.559640935858635,0.2791679404436683,52.1536997146581,0.0,1
156,11,7,17.840092746849468,17.623471775099496,0.2816152746214223,62.57995699555315,0.0,1
157,11,8,21.138145959682596,21.43406996789133,0.28109910101923324,76.25093744581125,0.0,1
158,11,9,24.663564011715266,24.642087280199842,0.2880236124684794,85.5557885306942,0.0,1
159,11,10,28.43202123164027,28.657245717037195,0.29077472495168705,98.55480293824942,0.0,1
160,11,11,32.46027252235366,31.96893535625199,0.29483288174102773,108.43069866383674,0.0,1
161,11,12,36.76622785477404,36.92615566242253,0.2915409669111723,126.6585483805208,0.0,1
162,11,13,41.36903189719904,41.254076018980314,0.2980103878934254,138.43167115950877,0.0,1
163,11,14,46.289149134238635,45.68116440337132,0.30575272339376247,149.40558467092052,0.0,1
164,11,15,51.548454853771354,51.08579876936032,0.3116090523122178,163.94195993438188,0.0,1
165,12,1,2.0681731724173913,2.071531910798472,0.2753875543234231,7.522242302807937,2.993161274389422e-13,1
166,12,2,4.27892435387168,4.317079518383229,0.27510780281152003,15.692319426290199,0.0,1
167,12,3,6.642082744805096,7.006987280544506,0.27539288694192154,25.443602986093943,0.0,1
168,12,4,9.168155161948565,9.327250294634574,0.27597559054678406,33.797374166877255,0.0,1
169,12,5,11.868372752582685,12.041058522723368,0.2771482598207144,43.44627143072325,0.0,1
170,12,6,14.75474092923811,14.878177898897349,0.2767588932267162,53.75862623756555,0.0,1
171,12,7,17.840092746849468,17.88652766040421,0.2826021212007304,63.292262578947614,0.0,1
172,12,8,21.138145959682596,21.436844725858606,0.2833817091148619,75.6465362313476,0.0,1
173,12,9,24.663564011715266,25.05253869702007,0.28468834524534214,87.99987465391318,0.0,1
174,12,10,28.43202123164027,27.912796204838227,0.28942705774227445,96.44155740854637,0.0,1
175,12,11,32.46027252235366,32.27462188862775,0.28937397436081796,111.53256598115765,0.0,1
